instance,profile,run,iteration,total_iterations,cost,k,optimal_cost,optimal_k,elapsed,routes
A-n45-k7,NN,0,0,7955,1944.9890930100705,7,1146.0,7,0.017107486724853516,"[[0, 13, 7, 16, 35, 26, 38, 32, 8, 9, 21, 0], [0, 39, 34, 15, 37, 19, 14, 0], [0, 2, 12, 43, 3, 41, 6, 17, 25, 0], [0, 44, 33, 27, 30, 0], [0, 23, 42, 4, 11, 5, 10, 0], [0, 18, 24, 28, 22, 20, 0], [0, 29, 36, 31, 1, 40, 0]]"
A-n45-k7,NN,0,1,7955,1902.5447371829487,7,1146.0,7,0.033621788024902344,"[[0, 32, 29, 17, 44, 14, 0], [0, 21, 12, 26, 35, 34, 6, 3, 0], [0, 8, 20, 16, 7, 13, 40, 42, 25, 22, 0], [0, 39, 9, 33, 11, 27, 31, 0], [0, 4, 28, 2, 23, 15, 10, 0], [0, 18, 38, 1, 37, 43, 19, 0], [0, 30, 36, 5, 24, 41, 0]]"
A-n45-k7,NN,0,2,7955,1822.9598244644321,7,1146.0,7,0.04978013038635254,"[[0, 10, 11, 44, 37, 33, 0], [0, 32, 1, 17, 25, 24, 2, 0], [0, 40, 18, 35, 13, 7, 16, 20, 8, 0], [0, 26, 4, 34, 9, 14, 42, 38, 0], [0, 6, 28, 43, 23, 22, 5, 0], [0, 19, 27, 29, 31, 41, 12, 21, 0], [0, 39, 3, 36, 30, 15, 0]]"
A-n45-k7,NN,0,5,7955,1783.5342682512683,7,1146.0,7,0.09773564338684082,"[[0, 7, 20, 18, 5, 31, 24, 14, 0], [0, 37, 30, 44, 33, 6, 0], [0, 21, 35, 34, 4, 26, 13, 0], [0, 8, 23, 1, 27, 11, 43, 0], [0, 19, 22, 17, 38, 32, 39, 0], [0, 12, 2, 15, 9, 3, 41, 28, 0], [0, 40, 16, 42, 10, 36, 29, 25, 0]]"
A-n45-k7,NN,0,18,7955,1778.1658905944992,7,1146.0,7,0.24689936637878418,"[[0, 6, 27, 19, 31, 36, 3, 0], [0, 32, 9, 41, 15, 25, 20, 10, 0], [0, 12, 34, 4, 35, 2, 8, 38, 13, 0], [0, 1, 5, 30, 37, 24, 14, 0], [0, 26, 28, 44, 42, 16, 7, 18, 0], [0, 21, 39, 11, 29, 43, 33, 0], [0, 22, 23, 17, 40, 0]]"
A-n45-k7,NN,0,81,7955,1737.3164133223577,7,1146.0,7,0.9802346229553223,"[[0, 2, 24, 29, 43, 1, 30, 0], [0, 35, 34, 26, 4, 32, 16, 0], [0, 40, 20, 17, 25, 23, 42, 0], [0, 13, 7, 18, 8, 10, 15, 44, 0], [0, 11, 41, 14, 3, 36, 27, 31, 38, 0], [0, 9, 22, 33, 21, 12, 39, 0], [0, 28, 6, 5, 19, 37, 0]]"
A-n45-k7,NN,0,159,7955,1687.1565595611169,7,1146.0,7,1.8858766555786133,"[[0, 28, 6, 9, 16, 4, 12, 0], [0, 35, 21, 13, 18, 7, 5, 14, 44, 0], [0, 3, 11, 43, 29, 41, 0], [0, 30, 1, 37, 25, 42, 23, 20, 8, 0], [0, 26, 34, 33, 31, 19, 0], [0, 2, 38, 24, 22, 10, 15, 0], [0, 39, 32, 40, 17, 36, 27, 0]]"
A-n45-k7,NN,0,212,7955,1658.4684045483655,7,1146.0,7,2.5014514923095703,"[[0, 13, 20, 16, 7, 26, 34, 12, 0], [0, 29, 31, 27, 36, 41, 19, 0], [0, 39, 25, 42, 15, 23, 17, 8, 0], [0, 38, 35, 6, 21, 44, 24, 9, 0], [0, 3, 33, 28, 43, 11, 0], [0, 32, 18, 40, 2, 5, 22, 0], [0, 4, 10, 14, 30, 1, 37, 0]]"
A-n45-k7,NN,0,289,7955,1618.27162528465,7,1146.0,7,3.405967950820923,"[[0, 35, 4, 38, 39, 32, 13, 18, 0], [0, 21, 12, 28, 3, 11, 6, 24, 14, 2, 0], [0, 34, 26, 36, 29, 19, 0], [0, 10, 17, 20, 16, 40, 7, 8, 0], [0, 5, 33, 27, 44, 0], [0, 30, 37, 1, 22, 31, 9, 0], [0, 42, 23, 15, 25, 41, 43, 0]]"
A-n45-k7,NN,1,0,7955,1999.462736252281,7,1146.0,7,0.01659417152404785,"[[0, 26, 36, 43, 44, 28, 41, 0], [0, 18, 2, 21, 39, 13, 12, 10, 15, 0], [0, 4, 31, 14, 11, 24, 38, 35, 0], [0, 37, 23, 22, 30, 5, 0], [0, 40, 6, 3, 27, 19, 25, 0], [0, 32, 7, 16, 17, 42, 34, 9, 8, 0], [0, 33, 29, 1, 20, 0]]"
A-n45-k7,NN,1,1,7955,1930.6750224357918,7,1146.0,7,0.032611846923828125,"[[0, 36, 29, 21, 4, 26, 0], [0, 8, 10, 9, 13, 40, 16, 25, 22, 0], [0, 20, 7, 39, 27, 38, 18, 6, 32, 0], [0, 12, 33, 31, 43, 44, 0], [0, 34, 24, 15, 17, 0], [0, 35, 19, 14, 3, 11, 28, 41, 0], [0, 2, 37, 23, 42, 1, 30, 5, 0]]"
A-n45-k7,NN,1,2,7955,1917.1523116481997,7,1146.0,7,0.04855537414550781,"[[0, 28, 41, 14, 10, 44, 6, 2, 35, 0], [0, 16, 20, 9, 8, 24, 11, 17, 0], [0, 39, 26, 4, 42, 23, 13, 40, 0], [0, 21, 27, 12, 32, 18, 7, 25, 0], [0, 34, 29, 30, 1, 37, 0], [0, 38, 15, 36, 5, 31, 19, 0], [0, 43, 3, 33, 22, 0]]"
A-n45-k7,NN,1,3,7955,1844.5173262750222,7,1146.0,7,0.06389188766479492,"[[0, 20, 32, 14, 27, 30, 21, 6, 0], [0, 16, 25, 42, 10, 35, 12, 0], [0, 40, 7, 38, 23, 22, 18, 26, 0], [0, 17, 29, 44, 31, 11, 0], [0, 4, 15, 1, 37, 9, 13, 0], [0, 39, 28, 3, 33, 2, 34, 8, 0], [0, 5, 24, 19, 43, 41, 36, 0]]"
A-n45-k7,NN,1,4,7955,1841.7114126168162,7,1146.0,7,0.07938027381896973,"[[0, 13, 32, 9, 6, 4, 34, 2, 12, 0], [0, 40, 7, 16, 15, 17, 5, 31, 0], [0, 35, 20, 26, 1, 14, 24, 21, 8, 38, 0], [0, 33, 27, 29, 43, 0], [0, 18, 39, 36, 41, 22, 0], [0, 10, 25, 23, 3, 44, 28, 0], [0, 30, 37, 42, 19, 11, 0]]"
A-n45-k7,NN,1,5,7955,1825.648149451697,7,1146.0,7,0.09430050849914551,"[[0, 26, 34, 20, 7, 16, 13, 44, 0], [0, 4, 6, 8, 38, 9, 10, 5, 0], [0, 35, 21, 17, 36, 23, 42, 0], [0, 39, 28, 33, 19, 37, 30, 0], [0, 18, 40, 25, 15, 1, 43, 0], [0, 2, 12, 31, 27, 11, 24, 14, 0], [0, 32, 22, 29, 41, 3, 0]]"
A-n45-k7,NN,1,19,7955,1761.888856811105,7,1146.0,7,0.2577023506164551,"[[0, 30, 19, 11, 44, 13, 0], [0, 38, 9, 24, 27, 41, 3, 21, 16, 0], [0, 26, 35, 8, 18, 7, 12, 2, 34, 0], [0, 10, 20, 1, 37, 15, 25, 0], [0, 39, 31, 29, 14, 33, 4, 0], [0, 5, 22, 42, 23, 17, 0], [0, 32, 40, 28, 36, 43, 6, 0]]"
A-n45-k7,NN,1,108,7955,1743.3801728058902,7,1146.0,7,1.2810847759246826,"[[0, 25, 10, 22, 5, 34, 32, 0], [0, 14, 6, 35, 26, 4, 21, 12, 0], [0, 16, 8, 38, 40, 7, 20, 18, 15, 13, 0], [0, 9, 24, 33, 44, 11, 0], [0, 2, 39, 41, 36, 37, 23, 42, 3, 0], [0, 28, 43, 27, 19, 30, 0], [0, 17, 1, 31, 29, 0]]"
A-n45-k7,NN,1,138,7955,1657.9721050387845,7,1146.0,7,1.6388084888458252,"[[0, 10, 33, 30, 28, 6, 26, 0], [0, 2, 34, 35, 24, 44, 9, 0], [0, 21, 25, 15, 42, 5, 22, 40, 0], [0, 8, 13, 18, 14, 39, 12, 4, 0], [0, 36, 37, 1, 23, 17, 7, 0], [0, 32, 27, 19, 31, 29, 0], [0, 11, 43, 41, 3, 38, 20, 16, 0]]"
A-n45-k7,NN,1,4982,7955,1646.322059359425,7,1146.0,7,58.17041039466858,"[[0, 17, 23, 15, 42, 25, 1, 0], [0, 39, 32, 9, 8, 16, 20, 13, 18, 7, 40, 0], [0, 35, 26, 34, 12, 3, 0], [0, 4, 2, 21, 14, 33, 44, 0], [0, 22, 36, 41, 24, 27, 0], [0, 38, 10, 5, 43, 11, 28, 37, 0], [0, 29, 19, 31, 30, 6, 0]]"
